gene_id	Stage_0	Stage_1	Stage_2	Stage_3	Stage_4	Stage_5	Stage_6_1	Stage_6_2
StHeBC4_c10197_g0	0.05	0.27	0.27	0.18	0.09	0.13	0.02	14.1
StHeBC4_c10199_g0	0	0	0	0.59	0.45	0	0.13	0
StHeBC4_c10200_g0	0	0	0	0	0	0.21	0	0.5
StHeBC4_c10200_g1	1.04	0.16	0.24	1.06	0.57	0.8	0	0.13
StHeBC4_c10200_g2	0.1	0	0	0	0	0	0	0
StHeBC4_c10200_g3	1.18	0.31	0.49	0.3	0.34	0.39	1.34	0.45
StHeBC4_c10201_g0	0.05	0	0	0	0.11	0	0	0
StHeBC4_c10201_g1	0.05	0.06	0	0	0	0	0	0.06
StHeBC4_c10201_g2	0	0	0	0	0.07	0	0	0
StHeBC4_c10201_g3	0.03	0	0.08	0	0	0	0	0
StHeBC4_c10204_g0	0	0	0	0	0	0	0	0
StHeBC4_c10206_g0	0.05	0.47	0.85	1.77	2.92	0.15	0.65	4.43
StHeBC4_c10207_g0	0	0	0.07	0	0.07	0.08	0	0
StHeBC4_c10210_g0	0	0.63	0.08	0	0.11	0	0	0
StHeBC4_c10213_g0	0	0	0	0	0	0	0.66	44.39
StHeBC4_c10213_g1	0.02	0	0	0.03	0	0	1.29	71.77
StHeBC4_c10215_g0	0	0.78	0.48	9.18	10.87	1.08	0.6	3.13
StHeBC4_c10216_g0	0	0	0.05	0	0	0	0	0
StHeBC4_c10217_g0	0	0	0	0.05	0	0	0	0
StHeBC4_c10219_g0	0	0	0	0	0	0	0	0
StHeBC4_c10220_g0	0.39	0.11	0.47	0.09	0	0.44	0.18	0.07
StHeBC4_c10222_g0	0	0	0	0.06	0	0	0.3	14.89
StHeBC4_c10223_g0	0	0	0	0	0	0	0	0
StHeBC4_c10224_g0	0	0	0	0	0	0	0	0
StHeBC4_c10224_g1	0	0	0	0	0	0	0	0
StHeBC4_c10225_g0	0	0.19	0	0.16	0.31	0	0.16	1.09
StHeBC4_c10227_g0	0	0	0	0	0	0	0	0
StHeBC4_c10228_g0	8.17	7.1	4.46	8.7	11.35	3.47	2.01	5.38
StHeBC4_c10230_g0	0	0.17	0.1	0.31	0.47	1.54	0.19	0.11
StHeBC4_c10231_g0	0	0	0	0	0	0	0	0
StHeBC4_c10233_g0	0.39	0.15	0.06	0.07	0.15	0	0.07	0
StHeBC4_c10234_g0	0	0.2	0	0.82	0.94	0	0	0.44
StHeBC4_c10236_g0	0.22	0.04	0.19	0.17	0.1	0	0.03	0.02
StHeBC4_c10238_g0	0	0	0	0	0	0	0	0
